bo_case1_kappa_firehose	27.4
bo_case3_electron_ringbeam	16.42
cattaert	9.92
core_beam	9.71
ice_alpha	3.76
ionbeam_gary84	5.38
product_bikappa	9.64
proton_shell_Min15	25.64
relativistic_pair	18.04
