vr	A	gamma_ring	omega_ring	u_c_ring	gamma_bimax	omega_bimax	u_c_bimax
0.0	1.0	4.8224529311967484e-14	4.905266292171424	0.10546875	4.8224529311967484e-14	4.905266292171424	0.10546875
0.5	1.25	6.927220023449866e-14	4.908842555727182	0.12109375	5.998019658237973e-14	4.907429967779571	0.1201171875
1.0	2.0	5.249805068290395e-15	4.8805369133205705	0.1669921875	7.768238106746411e-13	3.446529381441096	0.158203125
1.5	3.25	0.005543248941127638	0.990031667872544	0.0	4.5690879289109676e-14	4.904724702304847	0.2197265625
2.0	5.0	0.03788822235329059	2.0038802547894177	0.0	5.997583284234341e-14	4.907430115981309	0.2939453125
2.5	7.25	0.19366344627870916	0.5091085696600153	0.0	1.3576440735819477e-13	3.271879385359306	0.4052734375
