tau	u_c	u_c_wi	j_uA	krho	ratio	omega_r	gamma	confirmed
0.5	0.2080078125	25.210340925829573	22.965838449303952	1.5	0.035	1.1113390070156572	0.00102028951425498	true
1.0	0.10546875	18.077479123617977	16.46802263980148	1.5	0.05	1.1864670582159362	0.0011736866597688953	true
2.0	0.05859375	14.203008972298353	12.938500534819129	1.25	0.08	1.2927163444338916	0.0012294826085712893	true
4.0	0.0341796875	11.7168846171598	10.673718377649108	1.25	0.12	1.4332331770211226	0.0012313181877172542	true
8.0	0.02734375	13.256141707478463	12.075933832497855	3.5	0.0001	3.9939622091210527	0.0011443452721950503	false
